tile_id,grade_area,researcher,id,min_lng,min_lat,max_lng,max_lat,grade
94,0.00226,am,1,20.00449,52.17728,20.00852,52.17743,0
264,0.01334,am,2,19.96736,52.17308,19.97275,52.17373,0
265,0.06097,am,3,19.97273,52.17302,19.98008,52.17456,0
266,0.11600,am,4,19.98004,52.17296,19.98741,52.17546,0
267,0.15882,am,5,19.98736,52.17290,19.99474,52.17621,0
268,0.10439,am,6,19.99467,52.17288,20.00208,52.17704,0
269,0.22523,am,7,20.00201,52.17277,20.00940,52.17731,0
270,0.23602,am,8,20.00930,52.17271,20.01670,52.17722,0
271,0.22291,am,9,20.01661,52.17265,20.02402,52.17678,0
272,0.23708,am,10,20.02392,52.17258,20.03133,52.17696,0
273,0.22576,am,11,20.03123,52.17252,20.03863,52.17683,0
274,0.17005,am,12,20.03854,52.17245,20.04591,52.17630,0
275,0.09660,am,13,20.04586,52.17239,20.05319,52.17487,0
276,0.01401,am,14,20.05317,52.17235,20.05746,52.17325,1
437,0.05866,am,15,19.95112,52.16870,19.95806,52.17094,0
438,0.18818,am,16,19.95801,52.16864,19.96541,52.17290,0
439,0.24827,am,17,19.96532,52.16858,19.97273,52.17312,0
440,0.25000,am,18,19.97263,52.16852,19.98004,52.17308,0
441,0.25000,am,19,19.97995,52.16846,19.98736,52.17302,0
442,0.25000,am,20,19.98726,52.16840,19.99467,52.17296,0
443,0.14056,am,21,19.99457,52.16834,20.00195,52.17290,0
444,0.15584,am,22,20.00188,52.16828,20.00930,52.17279,0
445,0.15086,am,23,20.00919,52.16821,20.01661,52.17277,0
446,0.16376,am,24,20.01651,52.16815,20.02392,52.17271,1
447,0.16377,am,25,20.02382,52.16809,20.03123,52.17265,1
448,0.16771,am,26,20.03113,52.16802,20.03854,52.17258,0
449,0.25000,am,27,20.03844,52.16796,20.04586,52.17252,0
450,0.25000,am,28,20.04575,52.16789,20.05317,52.17245,0
451,0.24305,am,29,20.05306,52.16783,20.06047,52.17239,0
452,0.18442,am,30,20.06038,52.16776,20.06776,52.17172,0
453,0.13006,am,31,20.06769,52.16769,20.07506,52.17068,0
454,0.10048,am,32,20.07500,52.16763,20.08233,52.17032,1
455,0.01026,am,33,20.08231,52.16760,20.08569,52.16848,1
610,0.04611,am,34,19.93718,52.16432,19.94333,52.16631,0
611,0.11694,am,35,19.94329,52.16427,19.95070,52.16863,0
612,0.24978,am,36,19.95060,52.16421,19.95801,52.16876,0
613,0.13208,am,37,19.95791,52.16415,19.96532,52.16870,0
614,0.14694,am,38,19.96522,52.16409,19.97263,52.16864,0
615,0.16833,am,39,19.97254,52.16403,19.97995,52.16858,0
616,0.22228,am,40,19.97985,52.16397,19.98726,52.16852,0
617,0.25000,am,41,19.98716,52.16390,19.99457,52.16846,0
618,0.25000,am,42,19.99447,52.16384,20.00188,52.16840,0
619,0.25000,am,43,20.00178,52.16378,20.00919,52.16834,0
620,0.25000,am,44,20.00909,52.16372,20.01651,52.16828,0
621,0.25000,am,45,20.01640,52.16365,20.02382,52.16821,0
622,0.22980,am,46,20.02371,52.16363,20.03113,52.16815,0
623,0.24968,am,47,20.03103,52.16353,20.03844,52.16809,0
624,0.25000,am,48,20.03834,52.16346,20.04575,52.16802,1
625,0.25000,am,49,20.04565,52.16340,20.05306,52.16796,0
626,0.25000,am,50,20.05296,52.16333,20.06038,52.16789,0
627,0.25000,am,51,20.06027,52.16327,20.06769,52.16783,0
628,0.24972,am,52,20.06758,52.16321,20.07500,52.16776,0
629,0.22170,am,53,20.07489,52.16329,20.08231,52.16769,1
630,0.16029,am,54,20.08222,52.16309,20.08737,52.16763,1
783,0.01036,am,55,19.92448,52.15996,19.92702,52.16097,0
784,0.15296,am,56,19.92904,52.15989,19.93597,52.16399,0
785,0.24822,am,57,19.93589,52.15983,19.94329,52.16437,0
786,0.23126,am,58,19.94320,52.15977,19.95060,52.16432,0
787,0.25000,am,59,19.95051,52.15971,19.95791,52.16427,0
788,0.25000,am,60,19.95782,52.15965,19.96522,52.16421,1
